ID;Name;Country;County;City;PostalCode;District;Street1;Street2;Intro;Description;GeocoordinateString;Website;Email;Phone;MondayOpenHours;TuesdayOpenHours;WednesdayOpenHours;ThursdayOpenHours;FridayOpenHours;SaturdayOpenHours;SundayOpenHours;Category;Mood;OutdoorSeating;HappyHour;Wifi;PriceRange;PaymentAccepted;RestaurantServices;MenuUrl;Booking;ParkingType;PublicTransport;FacebookId;FacebookUserPage;TwitterName;TwitterUserPage;InstagramId;InstagramUserPage;GooglePlusUserPage;FoursquareId;FoursquareUserPage;FacebookLikes;FacebookCheckins;FoursquareLikes;FoursquareCheckIns;FoursquareTips;IsPermanentlyClosed;BusinessFound;Updated Columns;Overwritten Columns
;Subculture;NZ;;Queenstown;9300;;13 church st;;‘Sub’ is indeed a suitable prefix for the subterranean spot Subculture. This bar boasts both an underground location and an appropriately underground atmosphere.;‘Sub’ is indeed a suitable prefix for the subterranean spot Subculture. This bar boasts both an underground location and an appropriately underground atmosphere.  Inside, low lighting and lots of red add up to warm glow that sets the mood – there are lots of comfortable couches to recline on should you be in a reclining mood, though the entertainment might keep you upright. Because music is a very big deal here and they often have live music from local bands plus the cream of Queenstown's DJ talent – the sound system is the best in town. The music changes from night to night, but hip-hop, dancehall, funk and r’n’b feature prominently, so there’s always something decent on offer, and the venue also has a good track record in attracting international talent. The atmosphere is lively and colourful, and the place hums with people having a good time and eager to party. They also hold regular art exhibitions for the culturally inclined. The bar offers a range of fruity, well-made cocktails and a decent wine list – it’s that rare venue that prides itself on its drinks as much as the entertainment (alas the two often don’t go hand in hand), styling itself solidly as a cocktail bar as well as a nightclub, so you can order in confidence that the staff tend to know what they’re doing! There are also drinks offers most nights from 9pm should you be partying on a budget (the place is open 4 nights a week). The food is tasty and has a distinctly Japanese flavour, with noodles and other Asian fare available if you get the munchies.;-45.0328,168.66136;http://www.subculture.net.nz;;6434437685;;;;;;;;Nightlife,Nightclub;;;;;;;;;;;;2,09854E+14;https://www.facebook.com/pages/Subculture/209854095700920;;;4190094;http://instagram.com/Subculture;;;;32;203;;;;;true;[PostalCode, Category, FacebookId, FacebookUserPage, InstagramId, InstagramUserPage, FacebookLikes, FacebookCheckins];[Street1, GeocoordinateString, Website, Phone]
;Turm Bar;DE;Hamburg;Hamburg;20148;;Rothenbaumchaussee 2;;"""Cocktails and more"" bar located in a little round tower opposite Dammtor  station on the Moorweide - an ideal stop for visitors to the cinemas or  shops. ...";"""Cocktails and more"" bar located in a little round tower opposite Dammtor  station on the Moorweide - an ideal stop for visitors to the cinemas or  shops. The interior has taken on the shape of the tower with round tables,  semicircular chairs and a round bar with the same shapely curves of that  blond with the Jameson Highball. It's a comfortable loungey atmosphere  that's even livelier in summer when you can sit outside. Dozens of colourful  cocktails and long drinks available at fair prices. Don't Turm back.";53.56206917855179,9.98983961123816;http://www.turmbar.de;;4940444567;;;;;;;;Bar,Lounge,Cocktail;;true;true;;$$$;;;;;;;;;;;16306443;http://instagram.com/Turmbar;;4b44eefff964a520310026e3;https://foursquare.com/v/turmbar/4b44eefff964a520310026e3;;;7;462;10;;true;[County, Category, OutdoorSeating, HappyHour, PriceRange, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[GeocoordinateString, Phone]
;Papaya;PL;;Warsaw;00-372;;ul. Foksal 16;;"""This frutily named gorgeous white confection must surely count as one of the best bars and restaurants in the city."" Discuss. ( Protractors may not be used)...";"""This frutily named gorgeous white confection must surely count as one of the best bars and restaurants in the city."" Discuss. ( Protractors may not be used) Few would take issue with the thesis that it’s one of its best designed spaces: its dazzlingly bright, white bar has a long counter on one side of the room above which runs a floral frieze providing artful splashes of colour. A more formal dining-room boasts is hung with striking paintings and features an arresting sculpture of silver coral, all of which is bathed in suitably romantic light.  The powers that be of Papaya say of it : ""If we go down the stairs we will reach the second room, whose interiors give the impression of a daydream on the bottom of the sea."" Mere fluff? Not a bit of it. An open kitchen ( a not unwelcome addition to the terminally suspicious) allows one to see  the chefs at work, a spectacle that at times borders on theatre, particularly when they’re unleashed on the modish teppanyaki grill. As for the bill of fare, it, too, has its moments of theatre.  Leading the charge are classic dishes from the Far East. Examples include the utterly scrumptious banana leaf and class pad Thai, traditional papaya salad and that perennial favourite, green curry. What these chaps can't do with that quartet of Thai ingredients ( lemongrass, chillis, ginger, galangal,) frankly isn't worth knowing.  The seafood is as fresh as it comes, too ( why, the oysters and lobsters are plucked from the aquarium) and they have a hefty wine list too. All of which, alas, comes with an equally hefty price tag. So fill your pockets with as many zloty as you can.";52.233638505847,21.0204577616;http://www.papaya.waw.pl/;papaya@papaya.waw.pl;48228261199;12:00-00:00;12:00-00:00;12:00-00:00;12:00-00:00;12:00-00:00;12:00-00:00;12:00-00:00;Restaurant;;;;;;cash,amex,mastercard,visa;groups,outdoor,reserve,dinner,lunch;;;street;;1,97923E+14;https://www.facebook.com/pages/Papaya/197923450241208;;;39792;http://instagram.com/Papaya;;;;149;1468;;;;;true;[MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, PaymentAccepted, RestaurantServices, ParkingType, FacebookId, FacebookUserPage, InstagramId, InstagramUserPage, FacebookLikes, FacebookCheckins];[Country, City, Street1, GeocoordinateString, Phone]
;Honey;NZ;Auckland;Auckland;1010;;5 O'Connell St;at Shortland St;“Come on, honey, let's go down to a place you'll like on O'Connell Street”.  Over at Honey – or, to give the place its full name, The Honey Champagne Cocktail Bar...;“Come on, honey, let's go down to a place you'll like on O'Connell Street”.  Over at Honey – or, to give the place its full name, The Honey Champagne Cocktail Bar, they have 30 types of champagne including all your favourites, as well as a delectable champagne cocktail with crushed mint that will have you begging for more. Housed in the old headquarters of an insurance company, the venue has been sympathetically done out, combining classical charm with modern drinking den.  The stylish setting boasting marble and oak bars, plenty of comfortable couches to recline on, a real fire for when the nights get cold and lots of old fashioned lamps casting a flattering lighting over the patrons, making it a good spot for a romantic evening. The heritage ceilings and vintage posters speak of the building’s original purpose, but now it’s a temple to the choicest champagne and the well-made cocktail, with over 60 varieties on offer, as well as a very good selection of beers and a seriously tempting range of New Zealand wines. (If you have a sweet tooth, we’d recommend the vodka-based Apple Crumble cocktail – it’s dessert in a glass!) There's a roof deck to chill out on when the weather gets warmer, so relax and check out the hipsters who've made this place their home from home. DJs spin until late and the crowd tends towards fashion, media and film types, though early evening it’s a prime location to grab a quick drink after-work and it tends to be quieter than some of the other venues in the area. ;-36.847122,174.767038;;;6493695639;;;;;;;;Bar;;;;;;;;;;;;;;;;5642883;http://instagram.com/Honey+Bar;;4b2da344f964a520e2d924e3;https://foursquare.com/v/honey-bar/4b2da344f964a520e2d924e3;;;0;182;2;;true;[County, PostalCode, Street2, Category, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[Street1, GeocoordinateString, Phone]
;Alice;NZ;;Wellington;6011;;Forresters Lane, Te Aro;;“Curiouser and curiouser!” Follow the flashing neon white rabbit into wonderland. Tucked down an unassuming, rain-damp alley, you’ll find Alice, one of ...;“Curiouser and curiouser!” Follow the flashing neon white rabbit into wonderland. Tucked down an unassuming, rain-damp alley, you’ll find Alice, one of Wellington’s most idiosyncratic bars. Inside you’ll find porthole mirrors, dangling lanterns and posters of the Red Queen on the walls. The drinks list is an attractive thing, resembling a hard-backed book and certain cocktails are even served in tea pots fit for a March Hare. So what are you waiting for? Pack your pocket watch and go find that yellow door. The looking glass world awaits.;-41.294178465305,174.78209123962;http://www.whiterabbit.co.nz/;;6443852242;;;;;;;;Bar;;;;;;;;;;;;1,32526E+14;https://www.facebook.com/pages/Alice/132526350152100;;;2714415;http://instagram.com/Alice;;;;54;1001;;;;;true;[PostalCode, Phone, Category, FacebookId, FacebookUserPage, InstagramId, InstagramUserPage, FacebookLikes, FacebookCheckins];[Street1, GeocoordinateString]
;Coppervine;US;IL;Chicago;60614;;1962 N Halsted St;;“In constant pursuit of the perfect pairing.” That’s how this new Lincoln Park spot styles itself and it’s a mission we’re happy to accept. This casual neighbourhood drinking and dining spot offers a list of creative drinks which are all designed to pair with dishes from their small plate menu. ;“In constant pursuit of the perfect pairing.” That’s how this new Lincoln Park spot styles itself and it’s a mission we’re happy to accept. This casual neighbourhood drinking and dining spot offers a list of creative drinks which are all designed to pair with dishes from their small plate menu. So the 9-5, an aromatic blend of gin, Combier  FDR, Spiced Perique, and Apricot Bitters goes well with olives and almonds, while their decadent Maine lobster BLT has been paired with a Modern Man’s Manhattan, a drink which mixes rye, vermouth and aromatic bitters. The lobster mac ‘n’ cheese, meanwhile, has been paired with an Old Fashioned made with brown butter-infused bourbon, a stiff drink designed to cut throw the richness, while the Apple Orchard, a blend of Apple Brandy, Orgeat, and Black Walnut Bitters works well with their cheese plate. A similar approach has been taken with their beer menu, the various ales and lagers chosen to go well with the food menu, ditto the wine list. It’s all too easy to opt for a bottle of a familiar white, but here the whole menu is set up to allow you to explore flavour pairings, while trying new wines, many of which are available by the glass. It’s a cool concept, well executed, and we applaud them for it.Photography by - Anthony Tahlier;41.91781226954795,-87.64851000425841;http://coppervinechicago.com;;17739351000;closed;17:00-22:00;17:00-22:00;17:00-22:00;17:00-23:00;17:00-23:00;17:00-21:00;Restaurant;Casual;false;;;$$;cash,amex,mastercard,visa,discover;dinner;foursquare.com/v/coppervine/529e820a11d2a50bde5c3f87/menu;http://www.opentable.com/single.aspx?rid=116545&ref=9601;street,valet;;5,27013E+14;https://www.facebook.com/coppervinechicago;;;174615071;http://instagram.com/Coppervine;;529e820a11d2a50bde5c3f87;https://foursquare.com/v/coppervine/529e820a11d2a50bde5c3f87;428;914;8;237;7;;true;[County, PostalCode, Website, Phone, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, Mood, OutdoorSeating, PriceRange, PaymentAccepted, RestaurantServices, MenuUrl, Booking, ParkingType, FacebookId, FacebookUserPage, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FacebookLikes, FacebookCheckins, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[Country, GeocoordinateString]
;1806;AU;VIC;Melbourne;3000;;169 Exhibition St.;;1806 is, apparently, the year that the term cocktail was first defined in print and so it comes as little surprise that the cocktail, its history and ...;1806 is, apparently, the year that the term cocktail was first defined in print and so it comes as little surprise that the cocktail, its history and its glorious present are a source of celebration and reverence at this elegant Exhibition Street bar. The room itself is a bit poky, but some smart use of wood panelling and red velvet makes gives the space a kind of clubby charm. The walls are lined with cabinets housing an array of vintage cocktail related paraphernalia - but all of this is mere backdrop for the main event, the drinks themselves. The list is exciting and varied, with drinks dating back to the birth of the cocktail. They use premium ingredients and have an inventive list of contemporary cocktails, which are delivered with equal care and attention to detail. They serve other drinks and have a decent wine list, but to be honest, you’d be remiss not to at least sample one of their cocktails when they’re as good as this.;-37.81165850192967,144.97027502740272;http://1806.com.au;;61396637722;17:00-02:00;17:00-02:00;17:00-02:00;17:00-02:00;17:00-04:00;17:00-04:00;19:00-02:00;Bar,Cocktail,Wine,Lounge;Casual;false;;false;$$;cash,amex,mastercard,visa;groups,reserve;foursquare.com/v/1806/4b0681dff964a5207dec22e3/menu;;street,lot;;1,9742E+14;https://www.facebook.com/eighteenOsix;drinks1806;https://www.twitter.com/drinks1806;275572;http://instagram.com/1806;;4b0681dff964a5207dec22e3;https://foursquare.com/v/1806/4b0681dff964a5207dec22e3;3607;21978;46;2362;55;;true;[County, PostalCode, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, Mood, OutdoorSeating, Wifi, PriceRange, PaymentAccepted, RestaurantServices, MenuUrl, ParkingType, FacebookId, FacebookUserPage, TwitterName, TwitterUserPage, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FacebookLikes, FacebookCheckins, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[Street1, GeocoordinateString, Website, Phone]
;19.20;GB;;London;EC1V 0DR;Covent Garden and Holborn;19-20 Great Sutton Street;EC1V 0DR;19.20, a stylish offering from the people behind Beach Blanket Babylon, boats a colourful and striking interior featuring padded red walls, graffiti murals ...;19.20, a stylish offering from the people behind Beach Blanket Babylon, boats a colourful and striking interior featuring padded red walls, graffiti murals and stained glass windows.  The main lure though is the four American-style, yellow-topped pool tables, which are usually surrounded by lively groups of people toting pool cues and bottles of beer. The Clerkenwell bar serves up top notch cocktails (we really like the sound of their Peppered Passion, a concoction of rum, passion fruit puree, lime and black pepper) and superior snacks – their burgers have a particularly good rep.  It’s got a nice relaxed atmosphere and attracts a mixed, after-work crowd. DJs play on weekend nights and there’s ample room for dancing.;51.523292931065,-0.10053030155694;www.19-20.co.uk;;4,42073E+11;12:00-23:00;12:00-23:00;12:00-23:00;12:00-23:00;12:00-01:30;15:00-01:30;closed;Bar,Pub;;;;;;cash,mastercard,visa,discover;groups,outdoor,reserve,dinner,lunch;;;street;Nearest tube station: Barbican;2,76295E+11;https://www.facebook.com/1920bar;;;924847;http://instagram.com/1920+bar;;;;264;3510;;;;;true;[PostalCode, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, PaymentAccepted, RestaurantServices, ParkingType, PublicTransport, FacebookId, FacebookUserPage, InstagramId, InstagramUserPage, FacebookLikes, FacebookCheckins];[Street1, GeocoordinateString, Website, Phone]
;360Istanbul;TR;Istanbul;Istanbul;34330;;İstiklal Cad. Mısır Apt. No:163 Kat:8;Beyoğlu;360Istanbul's charms are not inconsiderable. Chief among them are its location in a delightful 19th Century building, its food which fuses Turkish cuisine ...;360Istanbul's charms are not inconsiderable. Chief among them are its location in a delightful 19th Century building, its food which fuses Turkish cuisine with that of the world. It has an excellent wine-menu, good music, able DJ's, sophisticated clientele and above all the breathtaking views of the city. Across the Bosphorus stands The Blue Mosque herself (which is one of the most famous in the world) and beyond glimmers the Sea of Marmara. On the drinks front, you are in safe hands in the barman, who, with over twenty years' experience under his belt, intimately knows the finer points of mixing a cocktail. Whether it's a mojito or a margarita, you won't be disappointed.;41.032632973319366,28.97691901241995;http://360istanbul.com;;9,02123E+11;11:00-02:00;11:00-02:00;11:00-02:00;11:00-02:00;11:00-04:00;11:00-04:00;11:00-02:00;Restaurant,Nightlife,Nightclub,Bar;;true;;true;;cash;dinner;;;street,valet;;1,92803E+14;https://www.facebook.com/360istanbul;;;213810044;http://instagram.com/360+Istanbul;;4bcc565afb84c9b61328203e;https://foursquare.com/v/360-istanbul/4bcc565afb84c9b61328203e;20846;16734;1291;34847;564;;true;[County, PostalCode, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, OutdoorSeating, Wifi, PaymentAccepted, RestaurantServices, ParkingType, FacebookId, FacebookUserPage, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FacebookLikes, FacebookCheckins, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[Street1, GeocoordinateString, Website, Phone]
;Kickin' Boot Whiskey Kitchen;US;WA;Seattle;98107;;5309 22nd Ave. NW;at Shilshole Ave NW;A barbecue and cocktail spot in Ballard—another one –the Kickin’ Boot Whiskey Kitchen is the work of the Matador crew, the folks behind the Southland Whiskey Kitchen in Portland. ;A barbecue and cocktail spot in Ballard—another one –the Kickin’ Boot Whiskey Kitchen is the work of the Matador crew, the folks behind the Southland Whiskey Kitchen in Portland. The interior is rustic in an upscale way, lots of brick and wood, but also airy, with large windows and a terrace area for al fresco dining;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Knee High Stocking Company;US;WA;Seattle;98122;;1356 E Olive Way;at Bellevue Ave;A barely marked door, a doorbell, text requests for reservations, no cameras, House Rules...a speakeasy. For some of you, I know that can mean pretentious mixologists, overpriced drinks and a “wanna be” clientele.;A barely marked door, a doorbell, text requests for reservations, no cameras, House Rules...a speakeasy. For some of you, I know that can mean pretentious mixologists, overpriced drinks and a “wanna be” clientele. But at Knee High your texted reservations and doorbell search will be rewarded as you enter the jewel box-sized space. Friendly and knowledgeable bartenders mix classic cocktails, house specialties, and creative seasonal sippers such as the Laura Palmer (Bombay Dry gin infused with Earl Grey tea, lemon, and Coca-Cola). Order a chicken pot pie or some lamb mini burgers and you’ve got the makings for a very delicious evening. As far as the House Rules go, I think we can all agree that “we don’t have Jägermeister, nor any drink that ends in '-bomb', and nothing with Red Bull” is not such a bad rule to follow.;47.616954,-122.32723;http://www.kneehighstocking.com;owners@kneehighstocking.com;12069797049;18:00-01:00;18:00-01:00;18:00-01:00;18:00-01:00;18:00-02:00;18:00-02:00;18:00-01:00;Bar,Speakeasy;;false;;false;$$;cash,visa,discover;dinner;foursquare.com/v/knee-high-stocking-co/49b7551df964a52028531fe3/menu;;;;;;kneehighstockco;https://www.twitter.com/kneehighstockco;646770;http://instagram.com/Knee+High+Stocking+Co.;;49b7551df964a52028531fe3;https://foursquare.com/v/knee-high-stocking-co/49b7551df964a52028531fe3;;;55;4593;46;;true;[County, Street2, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, OutdoorSeating, Wifi, PriceRange, PaymentAccepted, RestaurantServices, MenuUrl, TwitterName, TwitterUserPage, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[Country, PostalCode, Street1, GeocoordinateString, Website, Phone]
;The Rum House;US;NY;New York;10036;Midtown Manhattan;228 W 47th St;;A beacon amid the bustle of Times Square, the Rum House at the Edison Hotel is now under new ownership. The bar, a fixture of the theatre district, is ...;A beacon amid the bustle of Times Square, the Rum House at the Edison Hotel is now under new ownership. The bar, a fixture of the theatre district, is not the same place as it was. Now by the same team as Tribeca’s Ward III, this is cut above the usual hotel bar, appealing to a wider crowd than you might expect. It’s unpretentious and friendly but not without style. As the name suggests the cocktail list is pretty rum-centric and they know how to whip up a textbook mojito. The room is attractively decked out with vintage pieces and the piano has remained since the refit, meaning they still play host to a splash of jazz piano of an evening.;40.7598065274,-73.9859655131;www.edisonrumhouse.com;;16464906924;12:00-04:00;12:00-04:00;12:00-04:00;12:00-04:00;12:00-04:00;12:00-04:00;12:00-04:00;Bar,Pub,Cocktail,Lounge,Nightlife,Jazz & Blues,Piano,Speakeasy;;false;;false;$$;cash,amex,mastercard,visa,discover;groups,reserve;foursquare.com/v/the-rum-house/41575800f964a520311d1fe3/menu;;;1,2,3,7,S to Times SquareA,C,E to 42nd Street - Port AuthorityN,Q,R to 49th StreetB,D,F,M to 47-50th Sts - Rockefeller Ctr;1,55244E+14;https://www.facebook.com/TheRumHouse;rumhouseny;https://www.twitter.com/rumhouseny;234418938;http://instagram.com/The+Rum+House;;41575800f964a520311d1fe3;https://foursquare.com/v/the-rum-house/41575800f964a520311d1fe3;1545;1839;93;6109;63;;true;[County, PostalCode, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, OutdoorSeating, Wifi, PriceRange, PaymentAccepted, RestaurantServices, MenuUrl, PublicTransport, FacebookId, FacebookUserPage, TwitterName, TwitterUserPage, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FacebookLikes, FacebookCheckins, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[Street1, GeocoordinateString, Website, Phone]
;Hoxton Pony;GB;Greater London;Shoreditch;EC2A 3AH;City and East London;104-108 Curtain Rd.;;A beacon on the still-grim stretch of London that is Curtain Road, the Hoxton Pony is everything you’d expect it to be, urban, stylishly designed and ...;A beacon on the still-grim stretch of London that is Curtain Road, the Hoxton Pony is everything you’d expect it to be, urban, stylishly designed and a bit self-consciously quirky. The upstairs bar has art made from crushed cars and an open kitchen serving decent grub. Downstairs there’s a tiny dance floor and pounding music. Cocktails are inventive: their infusion jars are particularly cool. You choose a base spirit and then add juices and herbs to create some pretty far out concoctions. The results are served in tea cups. The whole milieu is incredibly Hoxton, but that’s all part of its charm.;51.525409261478316,-0.08037175239305042;http://www.thehoxtonpony.com;;4,42076E+11;closed;17:00-01:00;17:00-00:00;17:00-01:00;17:00-02:00;18:00-02:00;closed;Bar,Nightlife,Nightclub,Spirits;Sophisticated;false;true;;$$;cash,amex,mastercard,visa;groups,reserve;foursquare.com/v/the-hoxton-pony/4ac518c6f964a5201aa520e3/menu;;;Tube: Shoreditch High Street, Liverpool Street, Old StreetTrain: Liverpool Street, Old StreetBuses: 24 hours;1,52832E+14;https://www.facebook.com/thehoxtonponylondon;thehoxtonpony;https://www.twitter.com/thehoxtonpony;5032;http://instagram.com/The+Hoxton+Pony;;4ac518c6f964a5201aa520e3;https://foursquare.com/v/the-hoxton-pony/4ac518c6f964a5201aa520e3;6373;28159;27;1223;19;;true;[County, Website, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, Mood, OutdoorSeating, HappyHour, PriceRange, PaymentAccepted, RestaurantServices, MenuUrl, PublicTransport, FacebookId, FacebookUserPage, TwitterName, TwitterUserPage, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FacebookLikes, FacebookCheckins, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[City, Street1, GeocoordinateString, Phone]
;The Gallery;IT;;Rome;186;;12  Via della Maddalena  Centro Storico;;A beautiful club-bar in the Centro Storico furnished in vibrant tones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Noti;ES;;Barcelona;8009;;Roger de Llúria, 35;;A beautiful spot full of beautiful people, Noti simply oozes sophistication. Housed in the former home of Barcelona’s newspaper, El Noticiero Universal,  (so one assumes that’s where they got the name);A beautiful spot full of beautiful people, Noti simply oozes sophistication. Housed in the former home of Barcelona’s newspaper, El Noticiero Universal,  (so one assumes that’s where they got the name) the space has been inventively rejigged by designer Francesc Pons to make for a pleasant, quality drinking experience. Walking in, you’re faced with a stylish bar area where you can idle over the cocktail of the day or explore the substantial Spanish wine list. Then, in the glamorous dining room - all red and black with lots of mirrors - you can sample an array of tasty modern dishes from a menu courtesy of Christian Crespin and Elena Barta. The fish is market fresh so worth trying, or plump for one of the quality meat dishes (for the discerning carnivore, steak tartare comes recommended). They do a lunch offer, too, if you’re on a budget but still want to sample the superior cuisine. The cocktails are well made by bar tenders who know their trade and care about their offering, so you’re guaranteed a decent drink. Should you want to enjoy your meal or drinks away from peering eyes, you can reserve a private space for your party. Smooth jazz filters through the air and there are occasional live DJ sessions to pep things up. The atmosphere is infectious, with the place attracting a sophisticated, urban crowd rather than simply a lot of tourist gawkers, drawn by the laid back, cool atmosphere and super-chic setting. Handily located to explore the rest of the city, Noti is one of Barcelona’s gems.;41.392285129816,2.169878995562;http://noti-universal.com/;;34933426673;;;;;;;;Bar,Cafe,Restaurant;;;;;;;;;;;;2,01238E+14;https://www.facebook.com/pages/NOTI/201237599915519;;;;;;;;18;0;;;;;true;[Category, FacebookId, FacebookUserPage, FacebookLikes, FacebookCheckins];[PostalCode, Street1, GeocoordinateString]
;Cyclops;US;WA;Seattle;98121;;2421 1st Ave;at Wall St;A Belltown classic serving up tasty cocktails and spicy-flavoured food fare. Décor is cool '50's diner with red vinyl booths and stools, although it's ...;A Belltown classic serving up tasty cocktails and spicy-flavoured food fare. Décor is cool '50's diner with red vinyl booths and stools, although it's the retro chic you're reveling in - just as you do at the minimalist boutique  Ace Hotel just upstairs. Dishes include empanadas and pepper-flavoured mashed potatoes but the cocktails are simply superb: generous pours, great top-shelf selections and fresh juices as mixers. Cyclops regulars are cool and laid-back in a designer-grunge Seattle kind of way and most of them have two eyes.;47.614524448876864,-122.34858334064484;http://cyclopsseattle.com;hostess@cyclopsseattle.com;12064411677;15:00-23:00;11:00-02:00;11:00-23:00;11:00-00:00;11:00-00:00;09:00-00:00;09:00-23:00;Bar,Dive,Nightlife,Rock;Casual;true;true;;$$;cash,amex,mastercard,visa,discover;groups,outdoor,reserve,dinner,lunch;foursquare.com/v/cyclops-seattle-wa/41044980f964a520730b1fe3/menu;;street;Metro stop is on 3rd and Wall. We are west on 1st and Wall.;1,36949E+14;https://www.facebook.com/pages/Cyclops/136948679670357;;;284652;http://instagram.com/Cyclops;;41044980f964a520730b1fe3;https://foursquare.com/v/cyclops-seattle-wa/41044980f964a520730b1fe3;846;6781;41;6342;46;;true;[County, Street2, MondayOpenHours, TuesdayOpenHours, WednesdayOpenHours, ThursdayOpenHours, FridayOpenHours, SaturdayOpenHours, SundayOpenHours, Category, Mood, OutdoorSeating, HappyHour, PriceRange, PaymentAccepted, RestaurantServices, MenuUrl, ParkingType, PublicTransport, FacebookId, FacebookUserPage, InstagramId, InstagramUserPage, FoursquareId, FoursquareUserPage, FacebookLikes, FacebookCheckins, FoursquareLikes, FoursquareCheckIns, FoursquareTips];[PostalCode, Street1, GeocoordinateString, Website, Phone]
;Club Safari;US;;Palm Beach;FL 33410;;4000  RCA Blvd.  Palm Beach Gardens;;A bizarre style-club meets Safari Park and just helps to confirm anything is  possible in Florida. Located in the Palm Beach Gardens Marriott, the dance ...;A bizarre style-club meets Safari Park and just helps to confirm anything is  possible in Florida. Located in the Palm Beach Gardens Marriott, the dance  floor is packed with sweaty, tanned and gorgeous disco hedonists grooving to  a mix of Top 40 chart beats as well as more eclectic New York-meets-LA club  tunes. But we particularly like the funky safari twist: lifelike animals  like lions and tigers are positioned throughout and you could end up dancing  with a giraffe. Do not confuse it with the six-foot tall supermodel in the  brown-spotted skirt you've had your eyes on.;26.838,-80.0977;http://www.clubsafaripbg.com/?gclid=CLTJiqX2rZUCFQ5MQgod5CN2kQ;info@clubsafaripbg.com;561.622.8888 Ext. 7110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;[];[]
